ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,easting,northing
5228,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Central,place-cntsq,22853,50006,12,1904,4167,14437,763303.65,2958426.04
5229,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Davis,place-davis,2716,52742,12,226,4395,3511,758156.45,2969832.48
5232,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Harvard,place-harsq,24135,74149,12,2011,6179,10269,759116.13,2961355.2
5234,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Kendall/MIT,place-knncl,16913,24874,12,1409,2073,16700,768015.16,2957375.19
5237,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Porter,place-portr,4423,35494,12,369,2958,7680,759062.42,2966679.98999999
5244,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Alewife,place-alfcl,0,26079,8,0,3260,0,752981.59,2969782.02
5250,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Central,place-cntsq,17643,36527,8,2205,4566,15158,763303.65,2958426.04
5251,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Davis,place-davis,1438,35857,8,180,4482,3260,758156.45,2969832.48
5254,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Harvard,place-harsq,15557,53002,8,1945,6625,10477,759116.13,2961355.2
5256,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Kendall/MIT,place-knncl,12295,17421,8,1537,2178,17518,768015.16,2957375.19
5259,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Porter,place-portr,2664,25982,8,333,3248,7562,759062.42,2966679.98999999
5277,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Alewife,place-alfcl,42458,0,12,3538,0,3538,752981.59,2969782.02
